"","osm_id","name","st_asgeojson"
"1",432596198,"Grémium","{""type"":""Point"",""coordinates"":[17.111577,48.1433238]}"
"2",3877276106,"Pekáreň na rohu","{""type"":""Point"",""coordinates"":[17.1161648,48.1462299]}"
"3",4358938029,"Kamenné nám.","{""type"":""Point"",""coordinates"":[17.1136226,48.1458244]}"
"4",3651038415,"Genesis","{""type"":""Point"",""coordinates"":[17.1149348,48.1462347]}"
"5",463165499,"Poľský inštitút","{""type"":""Point"",""coordinates"":[17.1112925,48.1450805]}"
"6",32635854,"Nemocnica sv. Michala","{""type"":""Point"",""coordinates"":[17.1162229,48.1461416]}"
"7",1473105785,"Academia","{""type"":""Point"",""coordinates"":[17.1143025,48.1428027]}"
"8",283014522,"Základná škola s vyučovacím jazykom maďarským","{""type"":""Polygon"",""coordinates"":[[[17.1162216,48.1455061],[17.1162515,48.1454652],[17.1164789,48.1451235],[17.1165315,48.145048],[17.1165278,48.1450455],[17.1165541,48.1450055],[17.1168325,48.1450955],[17.1170236,48.1451548],[17.1173078,48.1452465],[17.1173071,48.1452509],[17.1173566,48.1452683],[17.1174167,48.1452894],[17.1170629,48.1457699],[17.1170347,48.1458081],[17.1168589,48.1457481],[17.1165725,48.1456505],[17.1164506,48.1456064],[17.1163073,48.1455594],[17.1163243,48.1455357],[17.1162216,48.1455061]]]}"
"9",2532545865,"Zen","{""type"":""Point"",""coordinates"":[17.1115306,48.1442984]}"
"10",1276901356,"Bratislavská Reštaurácia","{""type"":""Point"",""coordinates"":[17.1102309,48.1460661]}"
"11",2693370367,"Genesis","{""type"":""Point"",""coordinates"":[17.1107059,48.1447844]}"
"12",444325135,"Kostol Loretánskej Panny Márie","{""type"":""Polygon"",""coordinates"":[[[17.1092006,48.1450292],[17.1095695,48.1449708],[17.109596,48.1450582],[17.1092294,48.1451177],[17.1092006,48.1450292]]]}"
"13",77918493,"Ortodoxná synagóga","{""type"":""Polygon"",""coordinates"":[[[17.1118845,48.1469657],[17.1118911,48.1469616],[17.111925,48.146939],[17.1119559,48.1469184],[17.1119848,48.1469001],[17.1120167,48.1468785],[17.1120354,48.1468675],[17.1120888,48.1468326],[17.112155,48.1468021],[17.1121941,48.1467833],[17.1122581,48.146835],[17.1122487,48.1468412],[17.1122571,48.1468474],[17.1122663,48.1468412],[17.1122906,48.1468599],[17.1122812,48.1468659],[17.1122887,48.1468721],[17.1122989,48.1468671],[17.1123222,48.1468857],[17.1123128,48.1468918],[17.1123228,48.1468982],[17.1123312,48.1468931],[17.1123554,48.1469117],[17.1123451,48.1469178],[17.1123543,48.1469241],[17.1123637,48.1469179],[17.1123915,48.1469413],[17.1123959,48.1469449],[17.1123655,48.1469666],[17.1123591,48.1469706],[17.1123492,48.1469633],[17.1122431,48.1470227],[17.1122489,48.1470287],[17.1122212,48.147045],[17.1122136,48.1470398],[17.1121092,48.1470983],[17.1119906,48.1470067],[17.1119611,48.1470227],[17.111914,48.146988],[17.1118845,48.1469657]]]}"
"14",-156143,"Generálna prokuratúra SR","{""type"":""Polygon"",""coordinates"":[[[17.1122812,48.1434541],[17.1123554,48.143381],[17.1123959,48.1434],[17.1124773,48.1433241],[17.1124389,48.1433066],[17.1125177,48.1432285],[17.1126109,48.1432703],[17.1126079,48.1432749],[17.1129135,48.1434123],[17.1128289,48.1436609],[17.1127235,48.1436589],[17.1122812,48.1434541]],[[17.1124598,48.1434304],[17.1126063,48.1435001],[17.1126892,48.1434226],[17.1125427,48.1433528],[17.1125114,48.1433821],[17.1125488,48.1433999],[17.112528,48.1434193],[17.1124906,48.1434016],[17.1124598,48.1434304]]]}"
